설문 문제 일련번호,설문 유형 일련번호,항목 출력 순서,설문 문항 설명,프로그램 종류,설문 상세 구분 코드,설문 답항 구분 코드,설문 답항 갯수
386,59,0,"프로그램 교육 기자재(교재, 재료 등)를 잘 갖추고 있다.",,,CD_00000000000000064,
387,59,0,프로그램 진행자가 전문성이 있다.,,,CD_00000000000000064,
388,59,0,"노약자, 유아, 장애인 등을 위한 시설을 잘 갖추고 있다.",,,CD_00000000000000064,
389,59,0,프로그램을 진행하기에 적절한 공간을 갖추고 있다.,,,CD_00000000000000064,
390,59,0,"탐방로, 데크로드 등 외부시설의 관리가 잘 되었다.",,,CD_00000000000000064,
391,59,0,시설에 대한 안내표시는 잘 되어있다.,,,CD_00000000000000064,
392,59,0,"강의실, 강당 등 내부 교육시설은 쾌적하였다.",,,CD_00000000000000064,
393,59,0,객실은 청결하게 관리되어 있다.,,,CD_00000000000000064,
394,59,0,식당은 전반적으로 쾌적하였다.,,,CD_00000000000000064,
395,59,0,식당의 식단구성 및 맛은 적절하였다.,,,CD_00000000000000064,
396,59,0,국립횡성숲체원에서 고객이 바라던 것이 모두 충족되었다.,,,CD_00000000000000064,
397,59,0,"국립횡성숲체원의 서비스를 이용하신 후, 국립횡성숲체원의 사업/활동에 대해 신뢰감을 갖게 되었다.",,,CD_00000000000000064,
398,59,0,향후 국립횡성숲체원에 재방문할 의향이 있다.,,,CD_00000000000000064,
399,59,0,국립횡성숲체원을 주변 지인들에게 소개할 의향이 있다.,,,CD_00000000000000064,
400,60,0,기타의견,,,CD_00000000000000061,
401,61,0,성별,,,CD_00000000000000062,
402,61,0,연령,,,CD_00000000000000062,
403,61,0,방문여부,,,CD_00000000000000062,
404,61,0,방문유형,,,CD_00000000000000062,
405,61,0,거주지역,,,CD_00000000000000062,
406,62,0,1순위,,,CD_00000000000000063,3
407,63,0,산림체조,활력찾기,,CD_00000000000000064,
408,63,0,숲길걷기,활력찾기,,CD_00000000000000064,
409,63,0,아로마마사지,활력찾기,,CD_00000000000000064,
410,63,0,명상,활력찾기,,CD_00000000000000064,
411,63,0,진행시간,,,CD_00000000000000064,
412,64,0,성별,,,CD_00000000000000062,
413,64,0,연령,,,CD_00000000000000062,
414,64,0,방문여부,,,CD_00000000000000062,
415,64,0,방문유형,,,CD_00000000000000062,
416,64,0,거주지역,,,CD_00000000000000062,
417,65,0,1순위,,,CD_00000000000000063,3
418,66,0,산림체조,활력찾기,,CD_00000000000000064,
419,66,0,숲길걷기,활력찾기,,CD_00000000000000064,
420,66,0,아로마마사지,활력찾기,,CD_00000000000000064,
421,66,0,명상,활력찾기,,CD_00000000000000064,
422,66,0,진행시간,,,CD_00000000000000064,
423,67,0,직원은 칠절하게 고객을 응대하였다,,,CD_00000000000000064,
424,67,0,고객의 입장을 고려하여 신속하게 업무를 처리 하였다.,,,CD_00000000000000064,
425,67,0,숲체원의 서비스 이용과정이 원활했다.,,,CD_00000000000000064,
426,67,0,숲체원에서 받은 서비스는 고객의 이용목적에 부합했다.,,,CD_00000000000000064,
427,67,0,프로그램에 대한 이해가 적절 하였다.,,,CD_00000000000000064,
428,67,0,프로그램은 고객에게 도움이 되었다.,,,CD_00000000000000064,
429,67,0,"프로그램 교육 기자재(교재, 재료 등)를 잘 갖추고 있다.",,,CD_00000000000000064,
430,67,0,프로그램 진행자가 전문성이 있다.,,,CD_00000000000000064,
431,67,0,"노약자, 유아, 장애인 등을 위한 시설을 잘 갖추고 있다.",,,CD_00000000000000064,
432,67,0,프로그램을 진행하기에 적절한 공간을 갖추고 있다.,,,CD_00000000000000064,
433,67,0,"탐방로, 데크로드 등 외부시설의 관리가 잘 되었다.",,,CD_00000000000000064,
434,67,0,시설에 대한 안내표시는 잘 되어있다.,,,CD_00000000000000064,
435,67,0,"강의실, 강당 등 내부 교육시설은 쾌적하였다.",,,CD_00000000000000064,
436,67,0,객실은 청결하게 관리되어 있다.,,,CD_00000000000000064,
437,67,0,식당은 전반적으로 쾌적하였다.,,,CD_00000000000000064,
438,67,0,식당의 식단구성 및 맛은 적절하였다.,,,CD_00000000000000064,
439,67,0,매점은 편의시설을 잘 갖추고 있다.,,,CD_00000000000000064,
440,67,0,국립횡성숲체원에서 고객이 바라던 것이 모두 충족되었다.,,,CD_00000000000000064,
441,67,0,"국립횡성숲체원의 서비스를 이용하신 후, 국립횡성숲체원의 사업/활동에 대해 신뢰감을 갖게 되었다.",,,CD_00000000000000064,
442,67,0,향후 국립횡성숲체원에 재방문할 의향이 있다.,,,CD_00000000000000064,
443,67,0,국립횡성숲체원을 주변 지인들에게 소개할 의향이 있다.,,,CD_00000000000000064,
444,68,0,기타의견,,,CD_00000000000000061,
445,69,0,성별,,,CD_00000000000000062,
446,69,0,연령,,,CD_00000000000000062,
447,69,0,방문여부,,,CD_00000000000000062,
448,69,0,방문유형,,,CD_00000000000000062,
449,69,0,거주지역,,,CD_00000000000000062,
450,70,0,1순위,,,CD_00000000000000063,3
451,71,0,주향로 견학(영상 등),,,CD_00000000000000064,
452,71,0,술 빚기 체험,감성충전,,CD_00000000000000064,
453,71,0,청태산 주례,,,CD_00000000000000064,
454,71,0,청태산 애,,,CD_00000000000000064,
455,71,0,진행시간,,,CD_00000000000000064,
456,72,0,직원은 칠절하게 고객을 응대하였다,,,CD_00000000000000064,
457,72,0,고객의 입장을 고려하여 신속하게 업무를 처리 하였다.,,,CD_00000000000000064,
458,72,0,숲체원의 서비스 이용과정이 원활했다.,,,CD_00000000000000064,
459,72,0,숲체원에서 받은 서비스는 고객의 이용목적에 부합했다.,,,CD_00000000000000064,
460,72,0,프로그램에 대한 이해가 적절 하였다.,,,CD_00000000000000064,
461,72,0,프로그램은 고객에게 도움이 되었다.,,,CD_00000000000000064,
462,72,0,"프로그램 교육 기자재(교재, 재료 등)를 잘 갖추고 있다.",,,CD_00000000000000064,
463,72,0,프로그램 진행자가 전문성이 있다.,,,CD_00000000000000064,
464,72,0,"노약자, 유아, 장애인 등을 위한 시설을 잘 갖추고 있다.",,,CD_00000000000000064,
465,72,0,프로그램을 진행하기에 적절한 공간을 갖추고 있다.,,,CD_00000000000000064,
466,72,0,"탐방로, 데크로드 등 외부시설의 관리가 잘 되었다.",,,CD_00000000000000064,
467,72,0,시설에 대한 안내표시는 잘 되어있다.,,,CD_00000000000000064,
468,72,0,"강의실, 강당 등 내부 교육시설은 쾌적하였다.",,,CD_00000000000000064,
469,72,0,객실은 청결하게 관리되어 있다.,,,CD_00000000000000064,
470,72,0,식당은 전반적으로 쾌적하였다.,,,CD_00000000000000064,
471,72,0,식당의 식단구성 및 맛은 적절하였다.,,,CD_00000000000000064,
472,72,0,매점은 편의시설을 잘 갖추고 있다.,,,CD_00000000000000064,
473,72,0,국립횡성숲체원에서 고객이 바라던 것이 모두 충족되었다.,,,CD_00000000000000064,
474,72,0,"국립횡성숲체원의 서비스를 이용하신 후, 국립횡성숲체원의 사업/활동에 대해 신뢰감을 갖게 되었다.",,,CD_00000000000000064,
475,72,0,향후 국립횡성숲체원에 재방문할 의향이 있다.,,,CD_00000000000000064,
476,72,0,국립횡성숲체원을 주변 지인들에게 소개할 의향이 있다.,,,CD_00000000000000064,
477,73,0,기타의견,,,CD_00000000000000061,
478,74,0,성별,,,CD_00000000000000062,
479,74,0,연령,,,CD_00000000000000062,
480,74,0,방문여부,,,CD_00000000000000062,
481,74,0,방문유형,,,CD_00000000000000062,
482,74,0,거주지역,,,CD_00000000000000062,
483,75,0,1순위,,,CD_00000000000000063,3
484,76,0,편백향기 주머니 만들기,감성충전,,CD_00000000000000064,
485,76,0,진행시간,,,CD_00000000000000064,
486,77,0,직원은 칠절하게 고객을 응대하였다,,,CD_00000000000000064,
487,77,0,고객의 입장을 고려하여 신속하게 업무를 처리 하였다.,,,CD_00000000000000064,
488,77,0,숲체원의 서비스 이용과정이 원활했다.,,,CD_00000000000000064,
489,77,0,숲체원에서 받은 서비스는 고객의 이용목적에 부합했다.,,,CD_00000000000000064,
490,77,0,프로그램에 대한 이해가 적절 하였다.,,,CD_00000000000000064,
491,77,0,프로그램은 고객에게 도움이 되었다.,,,CD_00000000000000064,
492,77,0,"프로그램 교육 기자재(교재, 재료 등)를 잘 갖추고 있다.",,,CD_00000000000000064,
493,77,0,프로그램 진행자가 전문성이 있다.,,,CD_00000000000000064,
494,77,0,"노약자, 유아, 장애인 등을 위한 시설을 잘 갖추고 있다.",,,CD_00000000000000064,
495,77,0,프로그램을 진행하기에 적절한 공간을 갖추고 있다.,,,CD_00000000000000064,
496,77,0,"탐방로, 데크로드 등 외부시설의 관리가 잘 되었다.",,,CD_00000000000000064,
497,77,0,시설에 대한 안내표시는 잘 되어있다.,,,CD_00000000000000064,
498,77,0,"강의실, 강당 등 내부 교육시설은 쾌적하였다.",,,CD_00000000000000064,
499,77,0,객실은 청결하게 관리되어 있다.,,,CD_00000000000000064,
500,77,0,식당은 전반적으로 쾌적하였다.,,,CD_00000000000000064,
501,77,0,식당의 식단구성 및 맛은 적절하였다.,,,CD_00000000000000064,
502,77,0,매점은 편의시설을 잘 갖추고 있다.,,,CD_00000000000000064,
503,77,0,국립횡성숲체원에서 고객이 바라던 것이 모두 충족되었다.,,,CD_00000000000000064,
504,77,0,"국립횡성숲체원의 서비스를 이용하신 후, 국립횡성숲체원의 사업/활동에 대해 신뢰감을 갖게 되었다.",,,CD_00000000000000064,
505,77,0,향후 국립횡성숲체원에 재방문할 의향이 있다.,,,CD_00000000000000064,
506,77,0,국립횡성숲체원을 주변 지인들에게 소개할 의향이 있다.,,,CD_00000000000000064,
507,78,0,기타의견,,,CD_00000000000000061,
541,84,0,성별,,,CD_00000000000000062,
542,84,0,연령,,,CD_00000000000000062,
543,84,0,방문여부,,,CD_00000000000000062,
544,84,0,방문유형,,,CD_00000000000000062,
545,84,0,거주지역,,,CD_00000000000000062,
546,85,0,1순위,,,CD_00000000000000063,3
547,86,0,산림체조,활력찾기,,CD_00000000000000064,
548,86,0,숲길걷기,활력찾기,,CD_00000000000000064,
549,86,0,아로마마사지,활력찾기,,CD_00000000000000064,
550,86,0,명상,활력찾기,,CD_00000000000000064,
551,86,0,진행시간,,,CD_00000000000000064,
552,87,0,직원은 칠절하게 고객을 응대하였다,,,CD_00000000000000064,
553,87,0,고객의 입장을 고려하여 신속하게 업무를 처리 하였다.,,,CD_00000000000000064,
554,87,0,숲체원의 서비스 이용과정이 원활했다.,,,CD_00000000000000064,
555,87,0,숲체원에서 받은 서비스는 고객의 이용목적에 부합했다.,,,CD_00000000000000064,
556,87,0,프로그램에 대한 이해가 적절 하였다.,,,CD_00000000000000064,
557,87,0,프로그램은 고객에게 도움이 되었다.,,,CD_00000000000000064,
558,87,0,"프로그램 교육 기자재(교재, 재료 등)를 잘 갖추고 있다.",,,CD_00000000000000064,
559,87,0,프로그램 진행자가 전문성이 있다.,,,CD_00000000000000064,
560,87,0,"노약자, 유아, 장애인 등을 위한 시설을 잘 갖추고 있다.",,,CD_00000000000000064,
561,87,0,프로그램을 진행하기에 적절한 공간을 갖추고 있다.,,,CD_00000000000000064,
562,87,0,"탐방로, 데크로드 등 외부시설의 관리가 잘 되었다.",,,CD_00000000000000064,
563,87,0,시설에 대한 안내표시는 잘 되어있다.,,,CD_00000000000000064,
564,87,0,"강의실, 강당 등 내부 교육시설은 쾌적하였다.",,,CD_00000000000000064,
565,87,0,국립횡성숲체원에서 고객이 바라던 것이 모두 충족되었다.,,,CD_00000000000000064,
566,87,0,"국립횡성숲체원의 서비스를 이용하신 후, 국립횡성숲체원의 사업/활동에 대해 신뢰감을 갖게 되었다.",,,CD_00000000000000064,
567,87,0,향후 국립횡성숲체원에 재방문할 의향이 있다.,,,CD_00000000000000064,
568,87,0,국립횡성숲체원을 주변 지인들에게 소개할 의향이 있다.,,,CD_00000000000000064,
569,88,0,기타의견,,,CD_00000000000000061,
570,89,0,성별,,,CD_00000000000000062,
571,89,0,연령,,,CD_00000000000000062,
572,89,0,방문여부,,,CD_00000000000000062,
573,89,0,방문유형,,,CD_00000000000000062,
574,89,0,거주지역,,,CD_00000000000000062,
575,90,0,1순위,,,CD_00000000000000063,3
576,91,0,오리엔테이션,,,CD_00000000000000064,
577,91,0,우리 가,가치찾기,,CD_00000000000000064,
578,91,0,청태산에 가면,행복찾기,,CD_00000000000000064,
579,91,0,두근두근,감성충전,,CD_00000000000000064,
580,91,0,고래도 춤추게 한다,행복찾기,,CD_00000000000000064,
581,91,0,진행시간,,,CD_00000000000000064,
582,92,0,직원은 칠절하게 고객을 응대하였다,,,CD_00000000000000064,
583,92,0,고객의 입장을 고려하여 신속하게 업무를 처리 하였다.,,,CD_00000000000000064,
584,92,0,숲체원의 서비스 이용과정이 원활했다.,,,CD_00000000000000064,
585,92,0,숲체원에서 받은 서비스는 고객의 이용목적에 부합했다.,,,CD_00000000000000064,
586,92,0,프로그램에 대한 이해가 적절 하였다.,,,CD_00000000000000064,
587,92,0,프로그램은 고객에게 도움이 되었다.,,,CD_00000000000000064,
588,92,0,"프로그램 교육 기자재(교재, 재료 등)를 잘 갖추고 있다.",,,CD_00000000000000064,
589,92,0,프로그램 진행자가 전문성이 있다.,,,CD_00000000000000064,
590,92,0,"노약자, 유아, 장애인 등을 위한 시설을 잘 갖추고 있다.",,,CD_00000000000000064,
591,92,0,프로그램을 진행하기에 적절한 공간을 갖추고 있다.,,,CD_00000000000000064,
592,92,0,"탐방로, 데크로드 등 외부시설의 관리가 잘 되었다.",,,CD_00000000000000064,
593,92,0,시설에 대한 안내표시는 잘 되어있다.,,,CD_00000000000000064,
594,92,0,"강의실, 강당 등 내부 교육시설은 쾌적하였다.",,,CD_00000000000000064,
595,92,0,객실은 청결하게 관리되어 있다.,,,CD_00000000000000064,
596,92,0,식당은 전반적으로 쾌적하였다.,,,CD_00000000000000064,
597,92,0,식당의 식단구성 및 맛은 적절하였다.,,,CD_00000000000000064,
598,92,0,국립횡성숲체원에서 고객이 바라던 것이 모두 충족되었다.,,,CD_00000000000000064,
599,92,0,"국립횡성숲체원의 서비스를 이용하신 후, 국립횡성숲체원의 사업/활동에 대해 신뢰감을 갖게 되었다.",,,CD_00000000000000064,
600,92,0,향후 국립횡성숲체원에 재방문할 의향이 있다.,,,CD_00000000000000064,
601,92,0,국립횡성숲체원을 주변 지인들에게 소개할 의향이 있다.,,,CD_00000000000000064,
602,93,0,기타의견,,,CD_00000000000000061,
640,99,0,성별,,,CD_00000000000000062,
641,99,0,연령,,,CD_00000000000000062,
642,99,0,방문여부,,,CD_00000000000000062,
643,99,0,방문유형,,,CD_00000000000000062,
644,99,0,거주지역,,,CD_00000000000000062,
645,100,0,1순위,,,CD_00000000000000063,3
646,101,0,오리엔테이션,,,CD_00000000000000064,
647,101,0,숲 누리,누리체험,,CD_00000000000000064,
648,101,0,나무 누리,누리체험,,CD_00000000000000064,
649,101,0,자연 누리,누리체험,,CD_00000000000000064,
650,101,0,외부 특강,,,CD_00000000000000064,
651,101,0,추억 누리,누리체험,,CD_00000000000000064,
652,101,0,별밤 누리,누리체험,,CD_00000000000000064,
653,101,0,향기 누리,누리체험,,CD_00000000000000064,
654,101,0,진행 시간,,,CD_00000000000000064,
655,102,0,1. 직원은 칠절하게 고객을 응대하였다,,,CD_00000000000000064,
656,102,0,2. 고객의 입장을 고려하여 신속하게 업무를 처리 하였다.,,,CD_00000000000000064,
657,102,0,3. 숲체원의 서비스 이용과정이 원활했다.,,,CD_00000000000000064,
658,102,0,4. 숲체원에서 받은 서비스는 고객의 이용목적에 부합했다.,,,CD_00000000000000064,
659,102,0,1. 프로그램에 대한 이해가 적절 하였다.,,,CD_00000000000000064,
660,102,0,2. 프로그램은 고객에게 도움이 되었다.,,,CD_00000000000000064,
661,102,0,"3. 프로그램 교육 기자재(교재, 재료 등)를 잘 갖추고 있다.",,,CD_00000000000000064,
662,102,0,4. 프로그램 진행자가 전문성이 있다.,,,CD_00000000000000064,
663,102,0,"1. 노약자, 유아, 장애인 등을 위한 시설을 잘 갖추고 있다.",,,CD_00000000000000064,
664,102,0,2. 프로그램을 진행하기에 적절한 공간을 갖추고 있다.,,,CD_00000000000000064,
665,102,0,"3. 탐방로, 데크로드 등 외부시설의 관리가 잘 되었다.",,,CD_00000000000000064,
666,102,0,4. 시설에 대한 안내표시는 잘 되어있다.,,,CD_00000000000000064,
667,102,0,"1. 강의실, 강당 등 내부 교육시설은 쾌적하였다.",,,CD_00000000000000064,
668,102,0,2. 객실은 청결하게 관리되어 있다.,,,CD_00000000000000064,
669,102,0,3. 식당은 전반적으로 쾌적하였다.,,,CD_00000000000000064,
670,102,0,4. 식당의 식단구성 및 맛은 적절하였다.,,,CD_00000000000000064,
671,102,0,5. 매점은 편의시설을 잘 갖추고 있다.,,,CD_00000000000000064,
672,102,0,1. 국립횡성숲체원에서 고객이 바라던 것이 모두 충족되었다.,,,CD_00000000000000064,
673,102,0,"2. 국립횡성숲체원의 서비스를 이용하신 후, 국립횡성숲체원의 사업/활동에 대해 신뢰감을 갖게 되었다.",,,CD_00000000000000064,
674,102,0,1. 향후 국립횡성숲체원에 재방문할 의향이 있다.,,,CD_00000000000000064,
675,102,0,2. 국립횡성숲체원을 주변 지인들에게 소개할 의향이 있다.,,,CD_00000000000000064,
676,103,0,성별,,,CD_00000000000000062,
677,103,0,연령,,,CD_00000000000000062,
678,103,0,방문여부,,,CD_00000000000000062,
679,103,0,방문유형,,,CD_00000000000000062,
680,103,0,거주지역,,,CD_00000000000000062,
681,104,0,1순위,,,CD_00000000000000063,3
682,105,0,오리엔테이션,,,CD_00000000000000064,
683,105,0,숲 누리,누리체험,,CD_00000000000000064,
684,105,0,나무 누리,누리체험,,CD_00000000000000064,
685,105,0,자연 누리,누리체험,,CD_00000000000000064,
686,105,0,외부 특강,,,CD_00000000000000064,
687,105,0,추억 누리,누리체험,,CD_00000000000000064,
688,105,0,별밤 누리,누리체험,,CD_00000000000000064,
689,105,0,향기 누리,누리체험,,CD_00000000000000064,
690,105,0,진행 시간,,,CD_00000000000000064,
691,106,0,1. 직원은 칠절하게 고객을 응대하였다,,,CD_00000000000000064,
692,106,0,2. 고객의 입장을 고려하여 신속하게 업무를 처리 하였다.,,,CD_00000000000000064,
693,106,0,3. 숲체원의 서비스 이용과정이 원활했다.,,,CD_00000000000000064,
694,106,0,4. 숲체원에서 받은 서비스는 고객의 이용목적에 부합했다.,,,CD_00000000000000064,
695,106,0,1. 프로그램에 대한 이해가 적절 하였다.,,,CD_00000000000000064,
696,106,0,2. 프로그램은 고객에게 도움이 되었다.,,,CD_00000000000000064,
697,106,0,"3. 프로그램 교육 기자재(교재, 재료 등)를 잘 갖추고 있다.",,,CD_00000000000000064,
698,106,0,4. 프로그램 진행자가 전문성이 있다.,,,CD_00000000000000064,
699,106,0,"1. 노약자, 유아, 장애인 등을 위한 시설을 잘 갖추고 있다.",,,CD_00000000000000064,
700,106,0,2. 프로그램을 진행하기에 적절한 공간을 갖추고 있다.,,,CD_00000000000000064,
701,106,0,"3. 탐방로, 데크로드 등 외부시설의 관리가 잘 되었다.",,,CD_00000000000000064,
702,106,0,4. 시설에 대한 안내표시는 잘 되어있다.,,,CD_00000000000000064,
703,106,0,"1. 강의실, 강당 등 내부 교육시설은 쾌적하였다.",,,CD_00000000000000064,
704,106,0,2. 객실은 청결하게 관리되어 있다.,,,CD_00000000000000064,
705,106,0,3. 식당은 전반적으로 쾌적하였다.,,,CD_00000000000000064,
706,106,0,4. 식당의 식단구성 및 맛은 적절하였다.,,,CD_00000000000000064,
707,106,0,5. 매점은 편의시설을 잘 갖추고 있다.,,,CD_00000000000000064,
708,106,0,1. 국립횡성숲체원에서 고객이 바라던 것이 모두 충족되었다.,,,CD_00000000000000064,
709,106,0,"2. 국립횡성숲체원의 서비스를 이용하신 후, 국립횡성숲체원의 사업/활동에 대해 신뢰감을 갖게 되었다.",,,CD_00000000000000064,
710,106,0,1. 향후 국립횡성숲체원에 재방문할 의향이 있다.,,,CD_00000000000000064,
711,106,0,2. 국립횡성숲체원을 주변 지인들에게 소개할 의향이 있다.,,,CD_00000000000000064,
712,107,0,성별,,,CD_00000000000000062,
713,107,0,연령,,,CD_00000000000000062,
714,107,0,방문여부,,,CD_00000000000000062,
715,107,0,방문유형,,,CD_00000000000000062,
716,107,0,거주지역,,,CD_00000000000000062,
717,108,0,1순위,,,CD_00000000000000063,3
718,109,0,오리엔테이션,,,CD_00000000000000064,
719,109,0,숲 누리,누리체험,,CD_00000000000000064,
720,109,0,나무 누리,누리체험,,CD_00000000000000064,
721,109,0,자연 누리,누리체험,,CD_00000000000000064,
722,109,0,외부 특강,,,CD_00000000000000064,
723,109,0,추억 누리,누리체험,,CD_00000000000000064,
724,109,0,별밤 누리,누리체험,,CD_00000000000000064,
725,109,0,향기 누리,누리체험,,CD_00000000000000064,
726,109,0,진행 시간,,,CD_00000000000000064,
727,110,0,1. 직원은 칠절하게 고객을 응대하였다,,,CD_00000000000000064,
728,110,0,2. 고객의 입장을 고려하여 신속하게 업무를 처리 하였다.,,,CD_00000000000000064,
729,110,0,3. 숲체원의 서비스 이용과정이 원활했다.,,,CD_00000000000000064,
730,110,0,4. 숲체원에서 받은 서비스는 고객의 이용목적에 부합했다.,,,CD_00000000000000064,
731,110,0,1. 프로그램에 대한 이해가 적절 하였다.,,,CD_00000000000000064,
732,110,0,2. 프로그램은 고객에게 도움이 되었다.,,,CD_00000000000000064,
733,110,0,"3. 프로그램 교육 기자재(교재, 재료 등)를 잘 갖추고 있다.",,,CD_00000000000000064,
734,110,0,4. 프로그램 진행자가 전문성이 있다.,,,CD_00000000000000064,
735,110,0,"1. 노약자, 유아, 장애인 등을 위한 시설을 잘 갖추고 있다.",,,CD_00000000000000064,
736,110,0,2. 프로그램을 진행하기에 적절한 공간을 갖추고 있다.,,,CD_00000000000000064,
737,110,0,"3. 탐방로, 데크로드 등 외부시설의 관리가 잘 되었다.",,,CD_00000000000000064,
738,110,0,4. 시설에 대한 안내표시는 잘 되어있다.,,,CD_00000000000000064,
739,110,0,"1. 강의실, 강당 등 내부 교육시설은 쾌적하였다.",,,CD_00000000000000064,
740,110,0,2. 객실은 청결하게 관리되어 있다.,,,CD_00000000000000064,
741,110,0,3. 식당은 전반적으로 쾌적하였다.,,,CD_00000000000000064,
742,110,0,4. 식당의 식단구성 및 맛은 적절하였다.,,,CD_00000000000000064,
743,110,0,5. 매점은 편의시설을 잘 갖추고 있다.,,,CD_00000000000000064,
744,110,0,1. 국립횡성숲체원에서 고객이 바라던 것이 모두 충족되었다.,,,CD_00000000000000064,
745,110,0,"2. 국립횡성숲체원의 서비스를 이용하신 후, 국립횡성숲체원의 사업/활동에 대해 신뢰감을 갖게 되었다.",,,CD_00000000000000064,
746,110,0,1. 향후 국립횡성숲체원에 재방문할 의향이 있다.,,,CD_00000000000000064,
747,110,0,2. 국립횡성숲체원을 주변 지인들에게 소개할 의향이 있다.,,,CD_00000000000000064,
748,111,0,성별,,,CD_00000000000000062,
749,111,0,연령,,,CD_00000000000000062,
750,111,0,방문여부,,,CD_00000000000000062,
751,111,0,방문유형,,,CD_00000000000000062,
752,111,0,거주지역,,,CD_00000000000000062,
753,112,0,1순위,,,CD_00000000000000063,3
754,113,0,오리엔테이션,,,CD_00000000000000064,
755,113,0,숲 누리,누리체험,,CD_00000000000000064,
756,113,0,나무 누리,누리체험,,CD_00000000000000064,
757,113,0,자연 누리,누리체험,,CD_00000000000000064,
758,113,0,추억 누리,누리체험,,CD_00000000000000064,
759,113,0,별밤 누리,누리체험,,CD_00000000000000064,
760,113,0,향기 누리,누리체험,,CD_00000000000000064,
761,113,0,진행 시간,,,CD_00000000000000064,
762,114,0,1. 직원은 칠절하게 고객을 응대하였다,,,CD_00000000000000064,
763,114,0,2. 고객의 입장을 고려하여 신속하게 업무를 처리 하였다.,,,CD_00000000000000064,
764,114,0,3. 숲체원의 서비스 이용과정이 원활했다.,,,CD_00000000000000064,
765,114,0,4. 숲체원에서 받은 서비스는 고객의 이용목적에 부합했다.,,,CD_00000000000000064,
766,114,0,1. 프로그램에 대한 이해가 적절 하였다.,,,CD_00000000000000064,
767,114,0,2. 프로그램은 고객에게 도움이 되었다.,,,CD_00000000000000064,
768,114,0,"3. 프로그램 교육 기자재(교재, 재료 등)를 잘 갖추고 있다.",,,CD_00000000000000064,
769,114,0,4. 프로그램 진행자가 전문성이 있다.,,,CD_00000000000000064,
770,114,0,"1. 노약자, 유아, 장애인 등을 위한 시설을 잘 갖추고 있다.",,,CD_00000000000000064,
771,114,0,2. 프로그램을 진행하기에 적절한 공간을 갖추고 있다.,,,CD_00000000000000064,
772,114,0,"3. 탐방로, 데크로드 등 외부시설의 관리가 잘 되었다.",,,CD_00000000000000064,
773,114,0,4. 시설에 대한 안내표시는 잘 되어있다.,,,CD_00000000000000064,
774,114,0,"1. 강의실, 강당 등 내부 교육시설은 쾌적하였다.",,,CD_00000000000000064,
775,114,0,2. 객실은 청결하게 관리되어 있다.,,,CD_00000000000000064,
776,114,0,3. 식당은 전반적으로 쾌적하였다.,,,CD_00000000000000064,
777,114,0,4. 식당의 식단구성 및 맛은 적절하였다.,,,CD_00000000000000064,
778,114,0,5. 매점은 편의시설을 잘 갖추고 있다.,,,CD_00000000000000064,
779,114,0,1. 국립횡성숲체원에서 고객이 바라던 것이 모두 충족되었다.,,,CD_00000000000000064,
780,114,0,"2. 국립횡성숲체원의 서비스를 이용하신 후, 국립횡성숲체원의 사업/활동에 대해 신뢰감을 갖게 되었다.",,,CD_00000000000000064,
781,114,0,1. 향후 국립횡성숲체원에 재방문할 의향이 있다.,,,CD_00000000000000064,
782,114,0,2. 국립횡성숲체원을 주변 지인들에게 소개할 의향이 있다.,,,CD_00000000000000064,
783,115,0,01월 01일,,,CD_00000000000000062,
784,115,0,01월 02일,,,CD_00000000000000062,
785,115,0,01월 03일,,,CD_00000000000000062,
786,115,0,01월 04일,,,CD_00000000000000062,
787,115,0,01월 05일,,,CD_00000000000000062,
788,116,0,1순위,,,CD_00000000000000063,3
789,117,0,생활안내 및 안전교육,,,CD_00000000000000064,
790,117,0,숲 누리,누리체험,,CD_00000000000000064,
791,117,0,나무 누리,누리체험,,CD_00000000000000064,
792,117,0,자연 누리,누리체험,,CD_00000000000000064,
793,117,0,추억 누리,누리체험,,CD_00000000000000064,
794,117,0,별밤 누리,누리체험,,CD_00000000000000064,
795,117,0,향기 누리,누리체험,,CD_00000000000000064,
796,117,0,진행시간,,,CD_00000000000000064,
797,118,0,1. 직원은 칠절하게 고객을 응대하였다,,,CD_00000000000000064,
798,118,0,2. 고객의 입장을 고려하여 신속하게 업무를 처리 하였다.,,,CD_00000000000000064,
799,118,0,3. 숲체원의 서비스 이용과정이 원활했다.,,,CD_00000000000000064,
800,118,0,4. 숲체원에서 받은 서비스는 고객의 이용목적에 부합했다.,,,CD_00000000000000064,
801,118,0,1. 프로그램에 대한 이해가 적절 하였다.,,,CD_00000000000000064,
802,118,0,2. 프로그램은 고객에게 도움이 되었다.,,,CD_00000000000000064,
803,118,0,"3. 프로그램 교육 기자재(교재, 재료 등)를 잘 갖추고 있다.",,,CD_00000000000000064,
804,118,0,4. 프로그램 진행자가 전문성이 있다.,,,CD_00000000000000064,
805,118,0,"1. 노약자, 유아, 장애인 등을 위한 시설을 잘 갖추고 있다.",,,CD_00000000000000064,
806,118,0,2. 프로그램을 진행하기에 적절한 공간을 갖추고 있다.,,,CD_00000000000000064,
807,118,0,"3. 탐방로, 데크로드 등 외부시설의 관리가 잘 되었다.",,,CD_00000000000000064,
808,118,0,4. 시설에 대한 안내표시는 잘 되어있다.,,,CD_00000000000000064,
809,118,0,"1. 강의실, 강당 등 내부 교육시설은 쾌적하였다.",,,CD_00000000000000064,
